1069,'21122,Meat of ducks; fresh or chilled
1126,'02121.01,Camels
982,'02291,Raw milk of sheep
79,'0118,Millet
94,'01193,Fonio
157,'01801,Sugar beet
894,'22221.01,Whole milk; evaporated
367,'01211,Asparagus
550,'01351.01,Currants
388,'01234,Tomatoes
702,'01653,Nutmeg; mace; cardamoms; raw
1128,'21159.02,Edible offals of camels and other camelids; fresh; chilled or frozen
1150,'02192.01,Other rodents
15,'0111,Wheat
1765,'F1765,Meat; Total
592,'01352,Kiwi fruit
191,'01703,Chick peas; dry
1141,'21114,Meat of rabbits and hares; fresh or chilled
780,'01922.01,Jute; raw or retted
1035,'21113.01,Meat of pig with the bone; fresh or chilled
836,'01950.01,Natural rubber in primary forms
378,'01219.01,Cassava leaves
515,'01341,Apples
136,'01550,Taro
1108,'21118.02,Meat of asses; fresh or chilled
236,'0141,Soya beans
904,'22251.02,Cheese from skimmed cow milk
895,'22221.02,Skim milk; evaporated
577,'01314,Dates
976,'02122,Sheep
83,'0114,Sorghum
869,'21512,Cattle fat; unrendered
661,'01640,Cocoa beans
782,'01922.02,Kenaf; and other textile bast fibres; raw or retted
1182,'02910,Natural honey
919,'02951.01,Raw hides and skins of cattle
1089,'21170.01,Meat of pigeons and other birds n.e.c.; fresh; chilled or frozen
407,'01254,Leeks and other alliaceous vegetables
568,'01229,Cantaloupes and other melons
461,'01356,Locust beans (carobs)
393,'01213,Cauliflowers and broccoli
867,'21111.01,Meat of cattle with the bone; fresh or chilled
226,'01379.01,Areca nuts
1080,'21124,Meat of turkeys; fresh or chilled
1735,'F1735,Vegetables Primary
897,'22211,Whole milk powder
571,'01316,Mangoes; guavas and mangosteens
220,'01373,Chestnuts; in shell
587,'01359.01,Persimmons
979,'21514,Sheep fat; unrendered
720,'01657,Ginger; raw
800,'01929.06,Agave fibres; raw; n.e.c.
205,'01709.01,Vetches
30,'F0030,Rice; paddy (rice milled equivalent)
1019,'21515,Goat fat; unrendered
1183,'02960.01,Beeswax
564,'24212.02,Wine
271,'21641.01,Rapeseed or canola oil; crude
948,'21152,Edible offal of buffalo; fresh; chilled or frozen
984,'22253,Cheese from milk of sheep; fresh or processed
898,'22212,Skim milk and whey powder
1726,'F1726,Pulses; Total
1073,'21123,Meat of geese; fresh or chilled
1730,'F1730,Oilcrops Primary
60,'21691.02,Oil of maize
821,'01929.90,Other fibre crops; raw; n.e.c.
489,'01313,Plantains and cooking bananas
813,'01929.08,Coir; raw
225,'01374,Hazelnuts; in shell
197,'01707,Pigeon peas; dry
888,'22110.02,Skim milk of cows
210,'01709.02,Lupins
536,'01346,Plums and sloes
463,'01290.90,Other vegetables; fresh n.e.c.
201,'01704,Lentils; dry
1158,'21117.02,Meat of other domestic camelids; fresh or chilled
619,'01359.90,Other fruits; n.e.c.
256,'01491.02,Palm kernels
430,'01239.01,Okra
101,'01195,Canary seed
270,'01443,Rape or colza seed
667,'01620,Tea leaves
75,'0117,Oats
331,'2168,Cottonseed oil
777,'01929.02,True hemp; raw or retted
512,'01329,Other citrus fruit; n.e.c.
116,'01510,Potatoes
261,'2167,Olive oil
292,'01442,Mustard seed
187,'01705,Peas; dry
656,'01610,Coffee; green
1804,'F1804,Citrus Fruit; Total
1809,'F1809,Skim Milk&Buttermilk;Dry
1816,'F1816,Evaporat&Condensed Milk
1140,'02191,Rabbits and hares
526,'01343,Apricots
698,'01656,Cloves (whole stems); raw
414,'01241.90,Other beans; green
125,'01520.01,Cassava; fresh
1717,'F1717,Cereals; Total
603,'01319,Other tropical fruits; n.e.c.
490,'01323,Oranges
671,'01630,Maté leaves
1749,'F1749,Sheep and Goats
1185,'02944,Silk-worm cocoons suitable for reeling
89,'01192,Buckwheat
1841,'F1841,Oilcrops; Cake Equivalent
156,'01802,Sugar cane
1811,'F1811,Butter and Ghee
946,'02112,Buffalo
523,'01342.02,Quinces
336,'01449.02,Hempseed
1746,'F1746,Cattle and Buffaloes
1097,'21118.01,Horse meat; fresh or chilled
885,'22120,Cream; fresh
423,'01241.01,String beans
1020,'02292,Raw milk of goats
217,'01372,Cashew nuts; in shell
957,'02951.03,Raw hides and skins of buffaloes
165,'23540,Molasses
1098,'21159.01,Edible offals of horses and other equines;  fresh; chilled or frozen
767,'01921.02,Cotton lint; ginned
277,'01499.03,Jojoba seeds
574,'01318,Pineapples
778,'01929.03,Kapok fibre; raw
987,'02941,Shorn wool; greasy; including fleece-washed shorn wool
333,'01441,Linseed
1083,'02194,Other birds
1242,'21700.02,Margarine and shortening
687,'01651,Pepper (Piper spp.); raw
459,'01691,Chicory roots
1166,'21170.92,Other meat n.e.c. (excluding mammals); fresh; chilled or frozen
1079,'02152,Turkeys
1129,'21519.02,Fat of camels
1780,'F1780,Milk; Total
Item Code,CPC Code,Item
955,'22252,Cheese from milk of buffalo; fresh or processed
329,'0143,Cotton seed
839,'03211,Balata; gutta-percha; guayule; chicle and similar natural gums in primary forms or in plates; sheets or strip
290,'21691.07,Oil of sesame seed
334,'21691.12,Oil of linseed
569,'01315,Figs
417,'01242,Peas; green
223,'01375,Pistachios; in shell
254,'01491.01,Oil palm fruit
547,'01353.01,Raspberries
252,'2166,Coconut oil
103,'01199.02,Mixed grain
542,'01349.10,Other pome fruits
449,'01270,Mushrooms and truffles
257,'2165,Palm oil
1021,'22254,Cheese from milk of goats; fresh or processed
399,'01233,Eggplants (aubergines)
1783,'F1783,Eggs Primary
947,'21112,Meat of buffalo; fresh or chilled
122,'01530,Sweet potatoes
402,'01253.01,Onions and shallots; green
826,'01970,Unmanufactured tobacco
896,'22222.02,Skim milk; condensed
242,'0142,Groundnuts; excluding shelled
558,'01355.90,Other berries and fruits of the genus vaccinium n.e.c.
748,'01930.01,Peppermint; spearmint
311,'01499.06,Kapokseed in shell
51,'24310.01,Beer of barley; malted
161,'01809,Other sugar crops n.e.c.
809,'01929.07,Abaca; manila hemp; raw
181,'01702,Broad beans and horse beans; dry
899,'22230.04,Buttermilk; dry
531,'01344.02,Cherries
1181,'02196,Bees
693,'01655,Cinnamon and cinnamon-tree flowers; raw
137,'01540,Yams
27,'0113,Rice
280,'01446,Safflower seed
1732,'F1732,Oilcrops; Oil Equivalent
260,'01450,Olives
1018,'21156,Edible offal of goat; fresh; chilled or frozen
1062,'0231,Hen eggs in shell; fresh
677,'01659,Hop cones
900,'22130.02,Whey; dry
2029,'F2029,Poultry Birds
92,'01194,Quinoa
544,'01354,Strawberries
486,'01312,Bananas
394,'01235,Pumpkins; squash and gourds
71,'0116,Rye
1057,'02151,Chickens
1176,'02920,Snails; fresh; chilled; frozen; dried; salted or in brine; except sea snails
552,'01355.01,Blueberries
886,'22241.01,Butter of cow milk
1068,'02154,Ducks
1096,'02131,Horses
265,'01447,Castor oil seeds
754,'01930.02,Pyrethrum; dried flowers
299,'01449.01,Melonseed
689,'01652,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
773,'26190.01,Flax; processed but not spun
366,'01216,Artichokes
789,'01929.05,Sisal; raw
135,'01591,Yautia
403,'01253.02,Onions and shallots; dry (excluding dehydrated)
275,'01499.02,Tung nuts
554,'01355.02,Cranberries
1729,'F1729,Treenuts; Total
339,'01449.90,Other oil seeds; n.e.c.
401,'01231,Chillies and peppers; green (Capsicum spp. and Pimenta spp.)
328,'01921.01,Seed cotton; unginned
1745,'F1745,Cheese (All Kinds)
1127,'21117.01,Meat of camels; fresh or chilled
521,'01342.01,Pears
234,'01379.90,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.
497,'01322,Lemons and limes
372,'01214,Lettuce and chicory
887,'22241.02,Ghee from cow milk
237,'2161,Soya bean oil
149,'01599.10,Edible roots and tubers with high starch or inulin content; n.e.c.; fresh
1738,'F1738,Fruit Primary
249,'01460,Coconuts; in shell
882,'02211,Raw milk of cattle
889,'22222.01,Whole milk; condensed
1807,'F1807,Sheep and Goat Meat
977,'21115,Meat of sheep; fresh or chilled
1036,'21153,Edible offal of pigs; fresh; chilled or frozen
281,'21631.02,Safflower-seed oil; crude
1163,'21170.02,Game meat; fresh; chilled or frozen
406,'01252,Green garlic
222,'01376,Walnuts; in shell
788,'01929.04,Ramie; raw or retted
1808,'F1808,Meat; Poultry
1151,'21119.01,Meat of other domestic rodents; fresh or chilled
296,'01448,Poppy seed
1025,'02954,Raw hides and skins of goats or kids
567,'01221,Watermelons
1756,'F1756,Live Animals
216,'01377,Brazil nuts; in shell
211,'01709.90,Other pulses n.e.c.
890,'22130.03,Whey; condensed
244,'2162,Groundnut oil
1016,'02123,Goats
195,'01706,Cow peas; dry
1058,'21121,Meat of chickens; fresh or chilled
983,'22249.01,Butter and ghee of sheep milk
1037,'21511.01,Fat of pigs
1157,'02121.02,Other camelids
1130,'02293,Raw milk of camel
1753,'F1753,Fibre Crops Primary
495,'01324,Tangerines; mandarins; clementines
1714,'F1714,Crops Primary
420,'01243,Broad beans and horse beans; green
258,'21691.14,Oil of palm kernel
1111,'21118.03,Meat of mules; fresh or chilled
397,'01232,Cucumbers and gherkins
951,'02212,Raw milk of buffalo
1017,'21116,Meat of goat; fresh or chilled
600,'01317,Papayas
108,'01199.90,Cereals n.e.c.
1072,'02153,Geese
560,'01330,Grapes
572,'01311,Avocados
549,'01351.02,Gooseberries
868,'21151,Edible offal of cattle; fresh; chilled or frozen
952,'22242.01,Butter of buffalo milk
901,'22251.01,Cheese from whole cow milk
289,'01444,Sesame seed
1091,'0232,Eggs from other birds in shell; fresh; n.e.c.
891,'22230.01,Yoghurt
267,'01445,Sunflower seed
866,'02111,Cattle
1777,'F1777,Hides and skins; primary
1043,'21521,Pig fat; rendered
1107,'02132,Asses
373,'01215,Spinach
446,'01290.01,Green corn (maize)
507,'01321,Pomelos and grapefruits
203,'01708,Bambara beans; dry
1806,'F1806,Beef and Buffalo Meat
1034,'02140,Swine / pigs
97,'01191,Triticale
1022,'22249.02,Butter of goat milk
591,'01359.02,Cashewapple
530,'01344.01,Sour cherries
1110,'02133,Mules and hinnies
310,'01499.05,Kapok fruit
541,'01349.20,Other stone fruits
711,'01654,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
426,'01251,Carrots and turnips
44,'0115,Barley
1723,'F1723,Sugar Crops Primary
263,'01499.01,Karite nuts (sheanuts)
56,'0112,Maize (corn)
176,'01701,Beans; dry
995,'02953,Raw hides and skins of sheep or lambs
358,'01212,Cabbages
1225,'21523,Tallow
162,'2351f,Raw cane or beet sugar (centrifugal only)
268,'21631.01,Sunflower-seed oil; crude
1720,'F1720,Roots and Tubers; Total
953,'22242.02,Ghee from buffalo milk
1186,'26110,Raw silk (not thrown)
978,'21155,Edible offal of sheep; fresh; chilled or frozen
723,'01699,Other stimulant; spice and aromatic crops; n.e.c.
534,'01345,Peaches and nectarines
692,'01658,Vanilla; raw
224,'01379.02,Kola nuts
305,'01499.04,Tallowtree seeds
221,'01371,Almonds; in shell
949,'21513,Buffalo fat; unrendered
